PDBID,MUTATION,TS,POTENTIAL
2BYG,B2838Y,454,16988.2742
2BYG,B2838Y,455,16988.2098
2BYG,B2838Y,456,16988.2269
2BYG,B2838Y,457,16988.2080
2BYG,B2838Y,458,16815.9201
2BYG,B2838Y,459,16677.6878
2BYG,B2838Y,460,16559.5753
2BYG,B2838Y,461,16498.7982
2BYG,B2838Y,462,16500.8725
2BYG,B2838Y,463,16490.6609
2BYG,B2838Y,464,16490.5894
2BYG,B2838Y,465,16490.5886
2BYG,B2838Y,466,16475.7069
2BYG,B2838Y,467,16452.9586
2BYG,B2838Y,468,16207.7893
2BYG,B2838Y,469,16137.6249
2BYG,B2838Y,470,16152.3009
2BYG,B2838Y,471,16135.2452
2BYG,B2838Y,472,16135.2215
2BYG,B2838Y,473,16015.3487
2BYG,B2838Y,474,15974.0557
2BYG,B2838Y,475,15983.8205
2BYG,B2838Y,476,15972.9957
2BYG,B2838Y,477,15972.9823
2BYG,B2838Y,478,15840.5665
2BYG,B2838Y,479,15733.5864
2BYG,B2838Y,480,15636.6781
2BYG,B2838Y,481,15609.3235
2BYG,B2838Y,482,15625.8167
2BYG,B2838Y,483,15609.3949
2BYG,B2838Y,484,15609.3009
2BYG,B2838Y,485,15432.8259
2BYG,B2838Y,486,15282.8674
2BYG,B2838Y,487,15195.8355
2BYG,B2838Y,488,15185.5622
2BYG,B2838Y,489,15213.4724
2BYG,B2838Y,490,15183.2791
2BYG,B2838Y,491,15183.2211
2BYG,B2838Y,492,15183.2137
2BYG,B2838Y,493,15019.6046
2BYG,B2838Y,494,14882.4959
2BYG,B2838Y,495,14779.1525
2BYG,B2838Y,496,14771.3324
2BYG,B2838Y,497,14827.1158
2BYG,B2838Y,498,14764.8495
2BYG,B2838Y,499,14764.8653
2BYG,B2838Y,500,14764.8495
